Model,RMSE,MAE,R2
Linear_Regression,4521.259596284219,3050.9840437071334,0.9442317007557327
Random_Forest,2786.6841370396187,1287.732087198725,0.9788142421608964
Gradient_Boosting,3088.795171359158,1255.3824497526803,0.9739716443440399
Neural_Network,25204.993790913737,16421.583984375,-0.7331722974777222
